,,Well,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
TQNGfree,1020,574,3185,3329,3940,3662,3329,3750,3611,3535,3595,3591,3292,3698,4148,3501,3431,3498,3510,3420
TQNGfree,1020,575,3113,3222,3839,3555,3225,3641,3482,3457,3507,3467,3187,3591,4052,3383,3368,3393,3438,3348
TQNGfree,1020,576,2995,3113,3684,3439,3108,3533,3392,3354,3363,3368,3082,3462,3900,3309,3231,3264,3329,3220
TQNGfree,1020,577,2871,2983,3579,3295,2983,3384,3243,3190,3251,3199,2969,3336,3776,3152,3091,3148,3167,3097
TQNGfree,1020,578,2765,2884,3457,3197,2888,3266,3160,3091,3145,3137,2856,3220,3660,3032,2991,3042,3070,2976
TQNGfree,1020,579,2623,2729,3241,3051,2732,3119,2961,2925,2959,2953,2709,3035,3460,2864,2841,2876,2897,2844
TQNGfree,1020,580,2555,2665,3150,2953,2703,3008,2873,2854,2887,2882,2637,2963,3340,2800,2780,2810,2818,2745
TQNGfree,1020,581,2414,2510,2980,2769,2532,2835,2746,2707,2748,2724,2503,2798,3171,2669,2634,2654,2692,2604
TQNGfree,1020,582,2390,2459,2940,2737,2474,2805,2692,2616,2696,2674,2451,2725,3082,2602,2569,2599,2624,2566
TQNGfree,1020,583,2293,2390,2839,2621,2401,2720,2595,2560,2558,2569,2359,2668,3000,2504,2490,2507,2523,2492
TQNGfree,1020,584,2228,2320,2755,2559,2335,2620,2513,2468,2512,2487,2296,2588,2916,2445,2407,2437,2457,2379
TQNGfree,1020,585,2151,2230,2669,2478,2244,2544,2445,2386,2422,2418,2219,2509,2843,2351,2320,2355,2385,2323
TQNGfree,1020,586,2116,2168,2613,2423,2197,2496,2370,2347,2391,2363,2167,2437,2753,2288,2264,2296,2317,2276
TQNGfree,1020,587,2025,2114,2521,2322,2120,2384,2274,2238,2258,2264,2085,2350,2654,2224,2185,2217,2238,2178
TQNGfree,1020,588,1981,2046,2436,2254,2059,2338,2226,2192,2233,2205,2041,2289,2580,2159,2136,2143,2176,2117
TQNGfree,1020,589,1947,2000,2375,2211,2025,2277,2163,2133,2178,2156,1997,2221,2521,2118,2092,2080,2151,2077
TQNGfree,1020,590,1893,1945,2324,2158,1965,2199,2111,2083,2115,2110,1943,2173,2459,2039,2037,2048,2064,2004
TQNGfree,1020,591,1844,1910,2267,2103,1914,2159,2055,2063,2101,2065,1914,2143,2390,2006,1975,1989,2038,1972
TQNGfree,1020,592,1776,1854,2229,2030,1890,2092,2042,1988,2007,1988,1830,2036,2315,1945,1926,1954,1954,1914
TQNGfree,1020,593,1752,1811,2148,2022,1799,2052,1974,1932,1954,1937,1799,2019,2268,1911,1872,1893,1909,1874
TQNGfree,1020,594,1687,1748,2091,1932,1757,1946,1902,1870,1899,1902,1738,1959,2204,1844,1810,1830,1844,1812
TQNGfree,1020,595,1635,1696,2032,1871,1708,1927,1844,1834,1852,1828,1692,1871,2125,1787,1751,1767,1800,1748
TQNGfree,1020,596,1585,1665,1960,1819,1663,1891,1786,1765,1785,1794,1641,1853,2074,1721,1714,1716,1737,1701
TQNGfree,1020,597,1532,1616,1915,1761,1602,1803,1758,1704,1730,1741,1581,1770,2002,1682,1655,1680,1697,1642
TQNGfree,1020,598,1495,1538,1839,1681,1546,1759,1692,1648,1687,1689,1512,1726,1930,1627,1611,1624,1638,1598
TQNGfree,1020,599,1420,1477,1759,1625,1475,1674,1595,1571,1605,1618,1458,1640,1845,1541,1539,1558,1558,1533
TQNGfree,1020,600,1383,1461,1739,1619,1461,1655,1567,1543,1556,1556,1442,1594,1826,1531,1503,1522,1531,1504
